,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
156,31493,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,10 OZ
274,34997,1329,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,12 OZ
319,36406,1329,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,12 OZ
322,36561,165,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,22 OZ
325,36618,1377,GROCERY,National,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ
378,39376,1329,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,12 OZ
457,41741,988,GROCERY,National,MEAT - SHELF STABLE,CHILI: CANNED,15 OZ
568,44062,69,GROCERY,Private,MEAT - SHELF STABLE,CHILI: CANNED,15 OZ
692,47272,69,GROCERY,Private,MEAT - SHELF STABLE,BEEF STEW,24 OZ
826,51703,69,GROCERY,Private,MEAT - SHELF STABLE,HOT DOG CHILI SAUCE,10 OZ
862,52876,69,GROCERY,Private,MEAT - SHELF STABLE,PASTA: CANNED,15 OZ
870,53337,608,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN BREADED PREPARED CHICK,11 OZ
879,53720,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,11.5 OZ
895,54450,69,GROCERY,Private,MEAT - SHELF STABLE,SANDWICH SAUCE,15.5 OZ
909,55071,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
930,56240,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,9.87 OZ
968,58612,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,14 OZ
974,58826,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,8.88 OZ
1006,60496,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,14 OZ
1024,61169,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
1029,61429,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
1030,61449,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,13.5 OZ
1059,62768,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
1070,62981,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,17.4 OZ
1080,63469,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,10.87 OZ
1085,63767,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,21 OZ
1088,63853,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,8 1/2 OZ
1121,64819,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,10 OZ
1211,69080,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,14 OZ
1258,71153,462,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
1302,72696,462,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,8.5 OZ
1308,72816,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,96 OZ
1333,73740,608,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,28 OZ
1345,74464,462,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
1374,76076,462,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9 OZ
1381,76501,462,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,11 OZ
1405,77491,213,GROCERY,National,MEAT - SHELF STABLE,VIENNA SAUSAGE,6 PK/5 OZ
1413,77896,1377,GROCERY,National,MEAT - SHELF STABLE,PASTA: CANNED,15 OZ
1414,78015,608,GROCERY,National,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,14.7 OZ
1441,79001,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,10 OZ
1449,79318,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,8.13 OZ
1453,79442,1377,GROCERY,National,MEAT - SHELF STABLE,PASTA: CANNED,15 OZ
1454,79446,781,GROCERY,National,MEAT - SHELF STABLE,CHILI: CANNED,15 OZ
1456,79537,462,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,10.5 OZ
1457,79538,1377,GROCERY,National,MEAT - SHELF STABLE,PASTA: CANNED,15 OZ
1504,81413,781,GROCERY,National,MEAT - SHELF STABLE,CHUNK MEATS - ALL,10 OZ
1510,81584,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,9.12 OZ
1530,82526,320,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,15 OZ
1532,82692,1377,GROCERY,National,MEAT - SHELF STABLE,PASTA: CANNED,40 OZ
1548,83221,781,GROCERY,National,MEAT - SHELF STABLE,CHILI: CANNED,15 OZ
1581,84794,1377,GROCERY,National,MEAT - SHELF STABLE,PASTA: CANNED,15 OZ
1590,85029,151,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,25 OZ
