,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,GENDER,FAMILY_INFO_EXIST
0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,,True
1,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,7,,True
2,25-34,U,Under 35K,Unknown,2 Adults Kids,3,1,8,,True
3,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,13,,True
4,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,16,Female,True
5,65+,B,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,17,,True
6,45-54,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,18,,True
7,35-44,B,Under 35K,Unknown,Single Female,1,None/Unknown,19,Female,True
8,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,20,,True
9,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,22,,True
10,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,25,,False
11,45-54,U,Under 35K,Probable Renter,Single Female,1,None/Unknown,27,Female,True
12,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,31,,True
13,35-44,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,39,,True
14,45-54,U,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,40,,True
15,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,42,Male,True
16,35-44,B,Under 35K,Homeowner,2 Adults Kids,5+,3+,43,,True
17,45-54,A,100K+,Homeowner,2 Adults Kids,5+,3+,46,,True
18,19-24,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,48,,True
19,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,49,,True
20,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,52,,True
21,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,55,,True
22,55-64,A,100K+,Homeowner,2 Adults Kids,4,2,56,,True
23,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,57,,True
