,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
0,25671,2,GROCERY,National,FRZN ICE,ICE - CRUSHED/CUBED,22 LB
2,26093,69,PASTRY,Private,BREAD,BREAD:ITALIAN/FRENCH, 
3,26190,69,GROCERY,Private,FRUIT - SHELF STABLE,APPLE SAUCE,50 OZ
4,26355,69,GROCERY,Private,COOKIES/CONES,SPECIALTY COOKIES,14 OZ
5,26426,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,2.5 OZ
6,26540,69,GROCERY,Private,COOKIES/CONES,TRAY PACK/CHOC CHIP COOKIES,16 OZ
8,26636,69,PASTRY,Private,BREAKFAST SWEETS,SW GDS: SW ROLLS/DAN, 
9,26691,16,GROCERY,Private,PNT BTR/JELLY/JAMS,HONEY,12 OZ
10,26738,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
12,26941,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
14,27030,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
15,27152,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,4 OZ
16,27158,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
17,27159,69,GROCERY,Private,CHEESE,STRING CHEESE,1 OZ
18,27160,69,GROCERY,Private,SHORTENING/OIL,VEGETABLE/SALAD OIL,48 OZ
19,27323,69,GROCERY,Private,COFFEE,INSTANT DECAF FLVR COFFEE W/ S,9 OZ
22,27404,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
23,27479,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
24,27491,69,GROCERY,Private,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,24 OZ
25,27503,69,GROCERY,Private,FRUIT - SHELF STABLE,CRANBERRY SAUCE,16 OZ
26,27509,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
27,27510,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,15 OZ
28,27522,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,1/2 GAL
29,27558,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
30,27633,69,GROCERY,Private,HISPANIC,MEXICAN BEANS REFRIED,16 OZ
31,27657,69,GROCERY,Private,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,A B D  8OZ
32,27658,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
33,27686,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,64 OZ
34,27695,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,5.8 OZ
35,27697,69,GROCERY,Private,CONDIMENTS/SAUCES,HOT MUSTARD/SPECIALTY MUSTAR,12 OZ
37,27735,69,GROCERY,Private,CHEESE,IWS SINGLE CHEESE,12 OZ
38,27745,69,GROCERY,Private,PNT BTR/JELLY/JAMS,HONEY,32 OZ
39,27754,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
40,27760,69,GROCERY,Private,DINNER MXS:DRY,MACARONI & CHEESE DNRS,14 OZ
41,27762,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
42,27764,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
43,27767,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,6.5 OZ
44,27812,69,GROCERY,Private,COFFEE,GROUND COFFEE,34.5 OZ
45,27860,69,GROCERY,Private,BAKING NEEDS,PIE FILLING MINCEMEAT GLAZES,21 OZ
46,27861,69,GROCERY,Private,VEGETABLES - SHELF STABLE,POTATOES SWEET,29 OZ
47,27864,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,ENGLISH MUFFINS/WAFFLES,13 OZ
49,27923,69,GROCERY,Private,HISPANIC,MEXICAN BEANS REFRIED,16 OZ
50,27925,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,6.5 OZ
51,27933,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS,TRADITIONAL,56 OZ
52,27951,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ
53,27958,69,GROCERY,Private,CHEESE,MISCELLANEOUS CHEESE,20 OZ
54,27960,69,GROCERY,Private,FRZN FRUITS,FROZEN FRUIT,16 OZ
55,27978,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,14 OZ
57,28018,69,PASTRY,Private,BREAKFAST SWEETS,SW GDS: MUFFINS,10.8 OZ
58,28041,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,12 OZ
60,28116,69,GROCERY,Private,DRY MIX DESSERTS,GELATIN,.3 OZ
61,28117,69,GROCERY,Private,DRY MIX DESSERTS,GELATIN,.3 OZ
62,28143,69,GROCERY,Private,DRY MIX DESSERTS,GELATIN,.3 OZ
63,28157,69,GROCERY,Private,DINNER MXS:DRY,MACARONI & CHEESE DNRS,12 OZ
64,28158,69,GROCERY,Private,PICKLE/RELISH/PKLD VEG,PICKLES,16 OZ
65,28165,69,PASTRY,Private,CAKES,CAKES: LAYERS,8IN/22 OZ
66,28186,69,GROCERY,Private,BAKING MIXES,BROWNIE MIX,10.25 OZ
69,28208,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,6.2 OZ
70,28219,69,PRODUCE,Private,POTATOES,POTATOES RUSSET (BULK&BAG),10 LB BAG
71,28267,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ
72,28268,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,20 OZ
73,28272,69,GROCERY,Private,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1 QT
74,28304,69,GROCERY,Private,SOUP,CONDENSED SOUP,10.75 OZ
75,28326,69,GROCERY,Private,BAKED SWEET GOODS,SWEET GOODS - FULL SIZE,12 OZ
76,28346,69,PRODUCE,Private,POTATOES,POTATOES RUSSET (BULK&BAG),10 LB BAG
77,28347,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,DINNER ROLLS,12CT/11 OZ
78,28376,69,GROCERY,Private,CHEESE,NATURAL CHEESE EXACT WT CHUNKS,8OZ
79,28377,69,GROCERY,Private,DINNER MXS:DRY,SKILLET DINNERS,6.4 OZ
80,28424,69,PASTRY,Private,COOKIES,COOKIES: REGULAR, 
82,28455,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS,DINNER ROLLS,11 OZ
83,28513,181,GROCERY,National,DRY BN/VEG/POTATO/RICE,NOODLE SIDE DISH MIXES,4.7 OZ
86,28748,181,GROCERY,National,DRY BN/VEG/POTATO/RICE,RICE SIDE DISH MIXES DRY,4.3 OZ
87,28782,16,GROCERY,Private,CONDIMENTS/SAUCES,VINEGAR ALL-EXCEPT WINE/RIC,16 OZ
88,28889,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,12 OZ
89,28892,69,GROCERY,Private,FROZEN PIZZA,SNACKS/APPETIZERS,20 OZ
90,28897,69,GROCERY,Private,EGGS,EGGS - X-LARGE,A D   1 DZ
91,28919,236,GROCERY,National,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,16.5 OZ
92,28929,317,GROCERY,National,CHEESE,STRING CHEESE,AB    8 OZ
93,28966,69,GROCERY,Private,EGGS,EGGS - MEDIUM,ABD   1 DZ
94,29037,69,GROCERY,Private,HOT CEREAL,STANDARD OATMEAL,42 OZ
95,29048,69,GROCERY,Private,SPICES & EXTRACTS,SPICES & SEASONINGS,.56 OZ
96,29096,317,GROCERY,National,CHEESE,STRING CHEESE,AB    8 OZ
97,29113,69,GROCERY,Private,COLD CEREAL,ADULT CEREAL,17.3 OZ
98,29128,69,GROCERY,Private,SUGARS/SWEETNERS,SUGAR,16 OZ
99,29132,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
100,29247,69,GROCERY,Private,SEAFOOD - SHELF STABLE,SALMON,14.75 OZ
101,29252,181,GROCERY,National,DRY BN/VEG/POTATO/RICE,NOODLE SIDE DISH MIXES,4.7 OZ
