,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
52,27951,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ
55,27978,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,14 OZ
58,28041,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,12 OZ
71,28267,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ
88,28889,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,12 OZ
100,29247,69,GROCERY,Private,SEAFOOD - SHELF STABLE,SALMON,14.75 OZ
103,29414,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW, 
105,29431,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,14 OZ
123,30003,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,9 OZ
323,36599,1178,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,12 OZ
325,36618,1377,GROCERY,National,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ
326,36722,397,MEAT-PCKGD,National,MEAT - MISC,BREAST - BONELESS(IQF),2.5 LB
338,37220,1089,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,16 OZ
340,37423,1107,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - COOKED,7 OZ
363,38412,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.56 OZ
403,40394,1548,MEAT-PCKGD,National,BACON,BETTER FOR YOU,12 OZ
433,41071,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ
434,41128,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ
510,42983,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,10 OZ
571,44161,2037,MEAT-PCKGD,National,FROZEN MEAT,CORN DOGS,16 OZ
641,45753,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,14 OZ
644,45831,69,MEAT-PCKGD,Private,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,12 OZ
656,46111,741,MEAT-PCKGD,National,HOT DOGS,KOSHER/SPECIALTY,16 OZ
660,46184,741,MEAT-PCKGD,National,HOT DOGS,KOSHER/SPECIALTY,1 LB
763,49628,69,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,12 OZ
781,50150,4321,MEAT,National,CHICKEN,CHICKEN WINGS, 
784,50233,1107,MEAT-PCKGD,National,HOT DOGS,BETTER FOR YOU,16 OZ
803,50828,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ
805,50931,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ
825,51640,69,MEAT-PCKGD,Private,LUNCHMEAT,BOLOGNA,16 OZ
827,51716,69,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,6 OZ
