,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT,MEAT_TYPE
52,27951,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ,PORK
55,27978,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,14 OZ,SEAFOOD
58,28041,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,12 OZ,SEAFOOD
71,28267,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,18 OZ,PORK
88,28889,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,12 OZ,SEAFOOD
100,29247,69,GROCERY,Private,SEAFOOD - SHELF STABLE,SALMON,14.75 OZ,SEAFOOD
103,29414,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW, ,SEAFOOD
105,29431,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,14 OZ,SEAFOOD
123,30003,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,9 OZ,POULTRY
323,36599,1178,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,12 OZ,SEAFOOD
325,36618,1377,GROCERY,National,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ,UNKNOWN
326,36722,397,MEAT-PCKGD,National,MEAT - MISC,BREAST - BONELESS(IQF),2.5 LB,POULTRY
338,37220,1089,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
340,37423,1107,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - COOKED,7 OZ,PORK
363,38412,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.56 OZ,UNKNOWN
403,40394,1548,MEAT-PCKGD,National,BACON,BETTER FOR YOU,12 OZ,PORK
433,41071,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
434,41128,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
510,42983,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,10 OZ,PORK
571,44161,2037,MEAT-PCKGD,National,FROZEN MEAT,CORN DOGS,16 OZ,UNKNOWN
641,45753,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,14 OZ,SEAFOOD
644,45831,69,MEAT-PCKGD,Private,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,12 OZ,PORK
656,46111,741,MEAT-PCKGD,National,HOT DOGS,KOSHER/SPECIALTY,16 OZ,UNKNOWN
660,46184,741,MEAT-PCKGD,National,HOT DOGS,KOSHER/SPECIALTY,1 LB,UNKNOWN
763,49628,69,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,12 OZ,SEAFOOD
781,50150,4321,MEAT,National,CHICKEN,CHICKEN WINGS, ,POULTRY
784,50233,1107,MEAT-PCKGD,National,HOT DOGS,BETTER FOR YOU,16 OZ,UNKNOWN
803,50828,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
805,50931,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
825,51640,69,MEAT-PCKGD,Private,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
827,51716,69,GROCERY,Private,SEAFOOD - SHELF STABLE,TUNA,6 OZ,SEAFOOD
870,53337,608,GROCERY,National,FRZN MEAT/MEAT DINNERS,FRZN BREADED PREPARED CHICK,11 OZ,POULTRY
872,53426,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,16 OZ,PORK
894,54421,2065,MEAT-PCKGD,National,HEAT/SERVE,CHICKEN BREAST BONE IN,12.48 OZ,POULTRY
906,54954,69,MEAT-PCKGD,Private,MEAT - MISC,BREAST - BONELESS(IQF),3 LB,POULTRY
908,55035,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,7.6 OZ.,SEAFOOD
913,55148,69,MEAT-PCKGD,Private,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
915,55279,1493,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,12 OZ,PORK
918,55409,4085,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
919,55584,2834,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
931,56250,1094,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,16 OZ,UNKNOWN
933,56341,1094,MEAT-PCKGD,National,LUNCHMEAT,PEPPERONI/SALAMI,8 OZ,PORK
979,59073,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,12 OZ,PORK
991,59829,69,MEAT-PCKGD,Private,LUNCHMEAT,MISCELLANEOUS,16 OZ,UNKNOWN
1004,60466,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,17 OZ,SEAFOOD
1016,60867,69,MEAT,Private,BEEF,PRIMAL,80 OZ,BOVINE
1033,61607,544,GROCERY,National,WAREHOUSE SNACKS,MEAT SNACKS,3.5 OZ,UNKNOWN
1062,62814,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,6 OZ,POULTRY
1112,64578,69,MEAT-PCKGD,Private,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
1133,65626,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,29 OZ,POULTRY
1138,65723,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
1149,66173,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF RAW SHRIMP RW,1 LB,SEAFOOD
1160,66483,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,32 OZ,POULTRY
1168,66800,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,7.6 OZ,SEAFOOD
1204,68779,69,MEAT-PCKGD,Private,MEAT - MISC,BREAST - BONELESS(IQF),3 LB,POULTRY
1205,68816,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,48 OZ,SEAFOOD
1218,69416,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
1251,70764,1107,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED - BETTER FOR YOU,14 OZ,PORK
1263,71221,69,MEAT-PCKGD,Private,LUNCHMEAT,LOAVE,16 OZ,UNKNOWN
1279,71827,69,MEAT-PCKGD,Private,HOT DOGS,PREMIUM - BEEF,16 OZ,BOVINE
1295,72328,1018,MEAT,National,TURKEY,GROUND TURKEY,16 OZ,POULTRY
1318,73243,2209,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,1 LB,PORK
1329,73584,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD WHOLE FILLETS,19 OZ,SEAFOOD
1361,75585,216,GROCERY,National,WAREHOUSE SNACKS,MEAT SNACKS,3.25 OZ,UNKNOWN
1371,75914,2209,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,16 OZ,PORK
1373,76045,1719,MEAT-PCKGD,National,BACON,BETTER FOR YOU,12 OZ,PORK
1377,76249,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,14 OZ,SEAFOOD
1395,77254,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,20 OZ,POULTRY
1405,77491,213,GROCERY,National,MEAT - SHELF STABLE,VIENNA SAUSAGE,6 PK/5 OZ,PORK
1410,77681,69,SEAFOOD-PCKGD,Private,SEAFOOD-FRESH,SEAFOOD-FRE-NON RW-ALL,7.5 OZ,SEAFOOD
1418,78067,1094,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,8 OZ,UNKNOWN
1421,78096,2209,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,1 LB,PORK
1429,78756,69,MEAT-PCKGD,Private,MEAT - MISC,BREAST - BONE-IN (IQF),4.0 LB,POULTRY
1430,78767,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,26 OZ,POULTRY
1435,78864,69,MEAT-PCKGD,Private,BACON,PREMIUM,16 OZ,PORK
1440,78986,1314,MEAT,National,BEEF,STUFFED/MIXED BEEF,6 OZ,BOVINE
1451,79389,1230,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
1468,79954,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,12 OZ,SEAFOOD
1470,79993,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,PATTIES - RAW,12 OZ,PORK
1472,80078,1230,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
1504,81413,781,GROCERY,National,MEAT - SHELF STABLE,CHUNK MEATS - ALL,10 OZ,UNKNOWN
1507,81454,2092,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,16 OZ,PORK
1521,81997,1230,MEAT-PCKGD,National,LUNCHMEAT,VARIETY PACK,6 OZ,UNKNOWN
1527,82337,1018,MEAT-PCKGD,National,HOT DOGS,BETTER FOR YOU,16 OZ,UNKNOWN
1537,82874,1089,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,5 OZ,POULTRY
1550,83396,2209,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
1566,84012,1089,MEAT-PCKGD,National,HOT DOGS,PREMIUM - BEEF,16 OZ,BOVINE
1588,84982,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,5 OZ,PORK
1602,85389,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,24.5 OZ,SEAFOOD
1617,86032,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,16 OZ,POULTRY
1618,86101,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,16 OZ,PORK
1621,86153,1493,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1 LB,PORK
1636,86733,1230,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,6 OZ,POULTRY
1648,87441,1089,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,5 OZ,POULTRY
1651,87705,69,MEAT-PCKGD,Private,HOT DOGS,PREMIUM - MEAT,16 OZ,UNKNOWN
1654,87892,397,MEAT-PCKGD,National,MEAT - MISC,BREAST - BONELESS(IQF),64 OZ,POULTRY
