,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
27,27510,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,15 OZ
39,27754,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
46,27861,69,GROCERY,Private,VEGETABLES - SHELF STABLE,POTATOES SWEET,29 OZ
99,29132,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
109,29582,69,GROCERY,Private,VEGETABLES - SHELF STABLE,SPINACH & GREENS,7.75 OZ
120,29989,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,29 OZ
127,30179,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,10 OZ
141,30870,282,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,15.25 OZ
257,34484,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES WHOLE,14.5 OZ
259,34601,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
262,34634,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
284,35331,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
296,35591,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,15 OZ
297,35602,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
310,36078,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES WHOLE,14.5 OZ
438,41174,1504,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
487,42408,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,28 OZ
504,42762,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES WHOLE,28 OZ
598,44802,2274,PRODUCE,National,SALAD MIX,COLESLAW,1 LB
663,46252,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,15.25 OZ
668,46311,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,15 1/4 OZ
688,47170,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,15 1/4 OZ
705,47805,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,8 OZ
749,49278,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATO SAUCE,15 OZ
750,49284,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CARROTS,14.5 OZ
760,49571,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
764,49650,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,8 OZ
771,49927,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATO SAUCE,29 OZ
774,49966,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATO SAUCE,8 OZ
778,50032,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATO PASTE,12 OZ
785,50242,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,15 OZ
789,50350,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
